Review #,Brand,Variety,Style,Country,Stars,Top Ten
2183,MAMA,Instant Rice Noodles Flavour,Pack,Thailand,3.50,
2182,MAMA,Instant Rice Vermicelli Soup,Pack,Thailand,3.50,
2181,MAMA,Instant Rice Noodles Chicken Flavour,Pack,Thailand,4,
2180,MAMA,Rice Noodles With Artificial Chicken Flavour,Bowl,Thailand,3,
2179,MAMA,Oriental Instant Rice Vermicelli,Pack,Thailand,5,
2178,MAMA,Instant Tom Yam Rice Noodles,Pack,Thailand,4,
2177,MAMA,Instant Rice Noodles Vegetable Flavour,Pack,Thailand,4,
2176,MAMA,Instant Rice Vermicelli Tom Yam,Pack,Thailand,5,
2175,MAMA,Instant Noodles Soup,Pack,Thailand,4,
2174,MAMA,Cup Rice Noodles Tom Flavour,Cup,Thailand,5,
2173,MAMA,Instant Rice Noodles Stew Beef Flavour,Pack,Thailand,4,
2172,MAMA,Instant Rice Noodles Style,Pack,Thailand,4,
2171,MAMA,Instant Noodles Tom Yam Flavour,Pack,Thailand,4,
2170,Maruchan,Ramen Noodle Mushroom Flavor,Pack,USA,4,
2169,Happy Family,Vegetable Flavour Instant Noodles,Pack,Singapore,4,
2168,Tseng Noodles,Rice Noodle With Pork Flavor,Pack,Taiwan,5,
2167,Great Value,Vegetable Flavour Noodles With,Cup,Canada,3,
2166,JML,Instant Noodle Artificial Beef Flavor,Pack,China,4,
2165,Suimin,Noodles With Hot & Spicy Flavour,Cup,Australia,3,
2164,Tseng Noodles,Rice Noodle Chinese Mushroom With Vegetarian Pork Flavor,Pack,Taiwan,5,
2163,Nissin,Udon,Bowl,Japan,4,
2162,Tseng Noodles,Rice Noodle Seafood Laksa Flavour,Pack,Taiwan,5,
2161,Nongshim,,Pack,South Korea,5,
2160,Menraku,Japanese Yakisoba Sauce,Bowl,Japan,5,
2159,Other,Sopa Sabor,Pack,Mexico,3,
2158,A-Sha Dry Noodle,Chow Mein Original Flavor,Tray,Taiwan,5,
2157,Master Kong,Artificial Mushroom Chicken Flavor Instant Noodle,Pack,China,4,
2156,A-Sha Dry Noodle,Chow Mein Sauce Flavor,Tray,Taiwan,2,
2155,Jingqi,Sweet Noodle With Spicy Miso Sauce,Pack,Taiwan,4,
2154,Jingqi,Black Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4,
2153,Jingqi,Noodle With Sauce,Pack,Taiwan,4,
2152,Jingqi,Black Bean Noodle With Oil Sauce,Pack,Taiwan,5,
2151,Jingqi,Original Noodle With Sesame Sauce,Pack,Taiwan,5,
2150,Jingqi,Black Bean Sweet Noodle With Spicy Miso Sauce,Pack,Taiwan,3,
2149,Jingqi,Noodle With Oil Sauce,Pack,Taiwan,5,
2148,Jingqi,Black Bean Noodles With Sauce,Pack,Taiwan,5,
2147,Maruchan,Instant Pork Flavor Ramen Noodles With,Cup,USA,3,
2146,Sapporo Ichiban,Ramen,Bowl,Japan,3,
2145,Dream Kitchen,Tonkotsu,Cup,USA,3,
2144,Nissin,Sabor,Pack,Brazil,4,
2143,Other,Chicken Flavour Instant Noodles,Pack,Vietnam,3,
2142,Maruchan,Bowl Taste Of Miso Chicken Flavor Spicy Miso Ramen,Bowl,USA,4,
2141,Nissin,Shio,Bowl,Japan,5,
2140,Wang,Rice Noodle Seafood Flavour,Bowl,South Korea,5,
2139,Fuku,Soup Instant Noodles,Pack,Hong Kong,4,
2138,Fuku,Soup Instant Noodles,Pack,Hong Kong,4,
2137,Nissin,Demae Ramen Spicy Curry Flavour Instant Noodles,Pack,Hong Kong,4,
2136,Nissin,Demae Ramen Beef Flavour Instant Noodles,Pack,Hong Kong,4,
2135,Doll,Instant Noodle Chicken Flavour,Pack,Hong Kong,2,
2134,Four Seas,Chicken Flavour Instant Noodle,Pack,Hong Kong,4,
2133,Nissin,Kimchi Ramen,Bowl,Japan,5.00,
2132,Maruchan,Instant Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,
2131,Myojo,Mee Goreng Thai Tom Yum Flavour,Pack,Singapore,4.0,
2130,Kang Shi Fu,Artificial Beef With Flavour,Pack,Hong Kong,4,
2129,CarJEN,Hot & Spicy Curry With Soup,Pack,Malaysia,5,
2128,Sapporo Ichiban,,Cup,Japan,4,
2127,Suimin,Noodles With Chicken & Sweet Flavour,Cup,Australia,2.25,
2126,Nissin,,Bowl,Japan,5.00,
2125,Happy Family,Curry Flavour Instant Noodles,Pack,Singapore,4,
2124,7 Select,Instant Noodles Tom Yum Seafood Creamy Flavour King Cup,Bowl,Thailand,3.5,
2123,Nissin,Cup Noodles Tom Yum Shrimp Flavour,Cup,Thailand,5,
2122,Nissin,Chilli Noodles Fried Flavour,Pack,Thailand,5,
2121,Nissin,Instant Noodles Flavour,Pack,Thailand,4,
2120,Nissin,Super Tom Yum Shrimp,Cup,Thailand,3.50,
2119,Nissin,Cup Noodles Pork Flavour,Cup,Thailand,3.50,
2118,Nissin,Chilli Noodles Tom Yum Shrimp Creamy Soup Flavour,Cup,Thailand,3.25,
2117,7 Select,Instant Noodles Shrimp Flavour King Cup,Bowl,Thailand,4,
2116,Nissin,Instant Noodles Tom Yum Shrimp Flavour,Pack,Thailand,4.0,
2115,Nissin,Cup Noodles Flavour,Cup,Thailand,4.00,
2114,Nissin,Instant Noodles Pork Flavour,Pack,Thailand,3.50,
2113,Nissin,Cup Noodles Seafood Creamy Flavour,Cup,Thailand,4,
2112,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4,
2111,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Hong Kong,3.75,
2110,Great Value,Vegetarian Flavour Ramen Noodles,Pack,Canada,3.00,
2109,Oni Hot Pot,With Flavor Noodle,Pack,Taiwan,4.3,
2108,Other,Noodle Snack Original Ramen,Pack,Taiwan,1,
2107,Nissin,Sabor,Pack,Brazil,4.5,
2106,Itomen,Onion Flavor Shoyu Ramen,Pack,Japan,3.5,
2105,Maruchan,Ramen Noodle Soup Chicken Flavor,Pack,USA,3,
2104,Wang,Rice Noodle Kimchi Flavor,Bowl,South Korea,4,
2103,Roland,Ramen Japanese Style Paste With Beef Flavored Soup Base,Pack,USA,0,
2102,Nissin,Cup Noodles Laksa,Cup,Japan,5,
2101,Samyang Foods,Udon,Pack,South Korea,4,
2100,Myojo,Mee Goreng Original Flavour,Pack,Singapore,4,
2099,Other,Ramen,Bowl,Japan,4,
2098,Nongshim,Kimchi Flavor Noodle Soup,Cup,USA,5,
2097,CarJEN,Mushroom Instant Noodles,Pack,Malaysia,5,
2096,Maruchan,Tonkotsu,Bowl,Japan,4,
2095,Nissin,Laksa,Pack,Singapore,5,
2094,Nongshim,Noodle Soup Spicy Seafood Flavor,Pack,South Korea,5,
2093,Oni Hot Pot,Flavour Noodle,Pack,Taiwan,2,
2092,Doll,Instant Noodle Vegetable Flavour,Pack,Hong Kong,4,
2091,MyKuali,Penang Prawn Noodle Taste,Cup,Malaysia,5,
2090,Nissin,White Sauce Flavour Instant Noodle,Pack,Hong Kong,5,
2089,Nissin,Big Cup Noodles Seafood Curry Flavour,Cup,Hong Kong,5,
2088,Nissin,Demae Iccho Beef Flavour Instant Noodle,Bowl,Hong Kong,4,
2087,Nissin,Goreng Noodle Original Flavour,Pack,Hong Kong,4,
2086,Nissin,Demae Ramen Sesame Flavour Instant Noodles,Pack,Hong Kong,5,
2085,Fuku,Soup Instant Rice Vermicelli,Bowl,Hong Kong,5,
2084,Nissin,Demae Ramen Noodle Tonkotsu Instant Noodle,Pack,Hong Kong,5,
2083,Nissin,Fried Noodle Sesame Paste Flavour Instant Noodle,Pack,Hong Kong,5,
2082,Nissin,Cup Noodles Pork Flavour,Cup,Hong Kong,4,
2081,Nissin,Cup Spicy Beef Flavour,Cup,Hong Kong,4,
2080,Fuku,Soup Noodle,Pack,Hong Kong,4,
2079,Nissin,Flavour Instant Noodle,Cup,Hong Kong,5,
2078,Nissin,Demae Iccho Curry Beef Flavour,Cup,Hong Kong,4,
2077,Nissin,Cup Noodles Big Spicy Seafood Flavour,Cup,Hong Kong,5,
2076,Nissin,Demae Iccho Black Garlic Oil Tonkotsu,Bowl,Hong Kong,3.75,
2075,Mi Sedaap,Mi Mi Goreng Ayam,Pack,Indonesia,4.5,
2074,Nissin,Cup Noodles Sabor Sopa,Cup,Mexico,3.5,
2073,Great Value,Spicy Ramen Noodles,Pack,Canada,4,
2072,Maruchan,Bowl Taste Of Beef Flavor Ramen,Bowl,USA,5,
2071,A-Sha Dry Noodle,Noodle Original Sauce,Pack,Taiwan,5,
2070,Tokushima Seifun,Ramen,Bowl,Japan,1.75,
2069,Doll,Instant Noodle Vegetarian Flavour,Pack,Hong Kong,3.75,
2068,Maggi,Spicy Mi Goreng,Pack,Australia,5,
2067,Samyang Foods,,Pack,South Korea,4.5,
2066,Marutai,Tonkotsu Ramen,Pack,Japan,5,
2065,Four Seas,Kung Vegetarian Noodle,Pack,Hong Kong,3,
2064,Nongshim,Rice,Pack,USA,5,
2063,Mamee,Pepper Noodles Vegetarian,Pack,Hong Kong,3.25,
2062,Ottogi,Sabor,Pack,Mexico,3.75,
2061,Kamfen,Dried Noodles Seafood,Tray,Hong Kong,4.25,
2060,Nissin,Cup Noodle Cheese,Cup,Japan,5,
2059,Four Seas,Beef Flavour Instant Noodle,Pack,Hong Kong,2.5,
2058,Other,Instant Noodle Shrimp Tom Yam,Pack,Thailand,3.75,
2057,Nissin,Sabor A,Cup,Mexico,3.75,
2056,Koyo,Garlic Pepper Ramen,Pack,USA,0,
2055,Nissin,Tonkotsu,Bowl,Japan,5,
2054,Suimin,Noodles Prawn Flavour,Cup,Australia,3.25,
2053,Maruchan,Instant Chicken Flavor Ramen Noodle Soup,Cup,USA,3.75,
2052,Indomie,Mi Cup Rasa Ayam,Cup,Indonesia,3.5,
2051,Master Kong,Artificial Pork Flavour Instant Noodle,Pack,China,3.50,
2050,MyKuali,Penang Red Tom Yum Noodle Taste,Cup,Malaysia,5.00,
2049,Ottogi,Sabor A,Pack,Mexico,4,
2048,Acecook,Tonkotsu,Bowl,Japan,3.8,
2047,Oni Hot Pot,Sauce Noodle,Pack,Taiwan,5,
2046,E-Zee,Perisa Pedas Mi,Pack,Malaysia,4,
2045,Great Value,Chicken Style Ramen Noodles,Pack,Canada,3.5,
2044,Doll,Noodle Japanese Soy Sauce Flavour,Cup,Hong Kong,3.0,
2043,Other,Curry Noodle,Bowl,Malaysia,5.0,
2042,Suimin,Noodles Mi Goreng,Cup,Australia,4.3,
2041,Master Kong,Tomato Sauce Instant Noodle,Pack,China,4.50,
2040,Nissin,Cup Noodles Sabor,Cup,Brazil,5,
2039,Tokushima Seifun,Ramen,Bowl,Japan,5,
2038,A1,Vegetarian Noodle,Pack,Malaysia,1.5,
2037,Other,Ramen Vegetable Flavor,Pack,South Korea,3.5,
2036,A-Sha Dry Noodle,Sauce Noodle,Pack,Taiwan,4.25,
2035,Acecook,Curry Udon,Cup,Japan,3.5,
2034,Fantastic,Noodles Oriental Flavour,Cup,Australia,3.25,
2033,Other,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,India,2.5,
2032,Kamfen,Noodle King Artificial Beef Soup Flavored,Bowl,Hong Kong,3.75,
2031,CarJEN,Curry Instant Noodles,Pack,Malaysia,5,
2030,Myojo,Tonkotsu Flavor,Pack,Japan,3.75,
2029,Singa-Me,Instant Noodles Beef Flavour,Cup,Australia,2,
2028,Maruchan,Sopa Sabor,Pack,Mexico,3.5,
2027,Nissin,Miso Ramen,Bowl,Japan,5,
2026,MyKuali,Penang White Curry Taste Cup,Cup,Malaysia,4.75,
2025,Urban Noodle,Chow Mein,Cup,UK,2,
2024,Urban Noodle,Thai,Cup,UK,2.5,
2023,Urban Noodle,Black Bean,Cup,UK,0,
2022,Urban Noodle,Thai Red Curry,Cup,UK,3,
2021,Urban Noodle,,Cup,UK,5,
2020,Kang Shi Fu,Artificial Beef,Pack,China,3.5,
2019,Acecook,Tonkotsu Ramen,Cup,Japan,3.75,
2018,Pulmuone,Noodle With Spicy Soup,Pack,South Korea,4,
2017,Samyang Foods,& Cheese Big Bowl,Bowl,South Korea,0,
2016,Great Value,Chicken Style Noodles With,Cup,Canada,3.5,
2015,E-Zee,Perisa Kari Mi,Pack,Malaysia,5,
2014,Oni Hot Pot,Pepper Noodle,Pack,Taiwan,4.5,
2013,Great Value,Beef Style Ramen Noodles,Pack,Canada,3.5,
2012,MAMA,Vegetarian Instant Noodles Flavour,Pack,Thailand,2,
2011,Trident,Minute Laksa Flavour Noodles,Pack,Australia,2,
2010,MAMA,Snack Noodles Flavour,Pack,Myanmar,3.75,
2009,Conimex,Oriental Noodles,Cup,Netherlands,3,
2008,Sichuan Baijia,Hot Flavor Instant Vermicelli,Bowl,China,3.5,
2007,Nongshim,Rice,Pack,United States,3.75,
2006,Kamfen,Noodles Beef Flavour,Bowl,Hong Kong,3.75,
2005,A-Sha Dry Noodle,Spicy Sauce,Pack,Taiwan,4.50,
2004,Nissin,Shoyu,Bowl,Japan,3.75,
2003,Nissin,Miso Flavor,Bowl,Japan,5,
2002,Nissin,Cup Noodles Tom Yum,Cup,Japan,3.8,
2001,Nissin,Cup Noodle Big Seafood,Cup,Japan,4,
2000,Nissin,Ramen,Bowl,Japan,5,
1999,Nissin,Curry Udon,Cup,Japan,5.0,
1998,Nissin,Shoyu,Bowl,Japan,5.0,
1997,Nissin,Cup Noodle Tonkotsu,Cup,Japan,4.3,
1996,Nissin,Cup Noodle Style,Cup,Japan,4.0,
1995,Nissin,Cup Noodle Big Cheese Chilli,Cup,Japan,5.00,
1994,Nissin,,Bowl,Japan,5,
1993,Nissin,Tonkotsu,Pack,Japan,5,
1992,Nissin,Cup Noodle,Cup,Japan,4.5,
1991,Nissin,Cup Noodle Ramen,Cup,Japan,5,
1990,Nissin,Cup Noodle,Cup,Japan,5.0,
1989,MyKuali,Penang White Noodle Taste,Pack,Malaysia,5.00,
1988,MAMA,Instant Noodles Chicken Soup Flavour,Pack,Myanmar,3.50,
1987,Nissin,Ramen,Bowl,Japan,4.50,
1986,A-Sha Dry Noodle,Noodle With Sauce,Pack,Taiwan,4.25,
1985,Prima Taste,Prawn Soup,Pack,Singapore,5,
1984,Nissin,Chinese Vermicelli,Cup,Hong Kong,5.0,
1983,Tokushima Seifun,Ramen,Pack,Japan,4,
1982,Master Kong,Pork Noodle,Pack,China,4,
1981,MyKuali,Penang Red Yum Noodle Taste,Pack,Malaysia,5.0,
1980,Suimin,Noodles Prawn & Chicken Flavour,Cup,Australia,3.5,
1979,Nissin,Cup Noodle,Cup,Japan,3.0,
1978,CarJEN,Curry Laksa,Pack,Malaysia,5.0,
1977,MyOri,Penang Curry Vermicelli (New,Pack,Malaysia,5.00,
1976,Itsuki,Spicy Ramen,Pack,Japan,4.25,
1975,Nissin,Soba Fried Noodles,Pack,Germany,3.25,
1974,Samyang Foods,Cheese Curry Ramyun,Pack,South Korea,5,
1973,Nissin,Cup Noodles Sabor,Pack,Brazil,4.25,
1972,Doll,Spicy Flavour Instant,Pack,Hong Kong,2.75,
1971,Fujiwara,Crab Flavour Ramen,Pack,Japan,3.5,
1970,MyOri,Penang Red Curry Noodle,Pack,Malaysia,5,
1969,Nongshim,Noodle Soup With Kimchi,Pack,USA,4.75,
1968,Nissin,Top Ramen Chicken Flavor Ramen Noodle Soup (New,Pack,USA,3.5,
1967,Tokushima Seifun,Ramen,Pack,Japan,4.5,
1966,Wei Lih,Noodle Snack Soy Sauce Ramen,Pack,Taiwan,3.75,
1965,MyKuali,Penang Spicy Prawn Soup Noodle Taste,Pack,Malaysia,5,
1964,MAMA,Instant Noodles Flavour,Pack,Myanmar,5,2016 #10
1963,Kabuto Noodles,Rice Noodles Vegetable Laksa,Cup,UK,3.75,
1962,Kabuto Noodles,Rice Noodles Chicken,Cup,UK,3.5,
1961,Kabuto Noodles,Chicken Ramen,Cup,UK,4.25,
1960,Kabuto Noodles,Chilli Chicken Ramen,Cup,UK,4,
1959,Myojo,Shoyu Ramen,Pack,Japan,4,
1958,IbuRamen,Mi Goreng Noodles A Curry Flavour,Tray,USA,4,
1957,MAMA,Cup Vegetarian Instant Noodles Tom Yum Flavour,Cup,Thailand,4,
1956,Maruchan,Spicy Tomato Ramen,Cup,Japan,0,
1955,Nissin,Ramen Noodle Soup Soy Sauce Flavor,Pack,USA,4.75,
1954,Koh Thai,Of Spicy Thai Chicken Instant Noodles Soup,Pack,Netherlands,2,
1953,Prima Taste,Soup,Pack,Singapore,5,
1952,Ve Wong,Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,Taiwan,3.75,
1951,Nissin,Cup Noodles Ramen Noodle Soup Chicken Flavor,Cup,USA,4.25,
1950,Fujiwara,Red King Crab Flavour Ramen,Pack,Japan,4,
1949,Bamee,Oriental Style Instant Noodles Shrimp Flavour,Pack,Thailand,3.5,
1948,Sichuan Baijia,Artificial Flavor Instant Vermicelli,Pack,China,1.5,
1947,Prima Taste,Laksa,Pack,Singapore,5,2016 #1
1946,Nissin,Shio Ramen,Pack,Japan,4.75,
1945,MAMA,Oriental Style Instant Noodles Flavour,Pack,Bangladesh,3.5,
1944,Wei Lih,Noodle Snack Hot Spicy,Pack,Taiwan,5,
1943,New Touch,Shoyu Ramen,Bowl,Japan,5,
1942,Ibumie,Mi Goreng Perisa,Pack,Malaysia,3.5,
1941,Unox,Noodles,Pack,Netherlands,2.5,
1940,Nissin,Cup Noodle Style,Cup,Japan,5,
1939,MAMA,Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Myanmar,5,
1938,Nissin,Soba,Bowl,Japan,5,
1937,MAMA,Chicken Soup Flavour Cup Noodles,Cup,Myanmar,3.75,
1936,Fortune,Rice Noodle Curry,Pack,USA,1,
1935,Love Cook,Dried Noodles With,Pack,Taiwan,3.75,
1934,Love Cook,Dried Noodles With Spicy Sauce,Pack,Taiwan,5,
1933,Love Cook,Dried Noodles With Sauce,Pack,Taiwan,4.5,
1932,Love Cook,Dried Noodles With Flavor,Pack,Taiwan,3.75,
1931,Bonasia,Instant Noodles Flavour,Pack,Hungary,3.75,
1930,Koh Thai,Of Instant Noodles Soup,Pack,Netherlands,0.25,
1929,MAMA,Instant Noodles Pork Flavour,Pack,Cambodia,3.50,
1928,Bamee,Instant Noodles Oriental Style Chicken Flavour,Pack,Thailand,3,
1927,Marutai,Tonkotsu Ramen,Bowl,Japan,3.5,
1926,Nissin,Bowl Noodles Hot & Spicy Chicken Flavor Ramen Noodle Soup,Bowl,USA,4,
1925,Prima,Mee Creamy Chicken Flavour,Pack,Singapore,5,2016 #8
1924,Sichuan Baijia,Noodle Artificial Beef Flavor,Pack,China,3.5,
1923,Conimex,Oriental Noodles,Cup,Netherlands,0.5,
1922,Other,Instant Cup Mi Rasa,Cup,Indonesia,1.5,
1921,Nissin,Cup Noodles Ramen Noodle Soup Chicken Flavor,Cup,USA,3.5,
1920,Itsuki,Ramen Noodles,Pack,Japan,0.75,
1919,Maruchan,Udon,Bowl,Japan,4.5,
1918,iMee,Instant Noodles Flavour,Pack,Netherlands,3.5,
1917,IbuRamen,Mi Goreng Noodles A Hot Sweet & Sour Flavor,Tray,USA,0.25,
1916,Nissin,Soba Fried Noodles,Pack,Germany,3,
1915,Itsuki,Sesame Sauce Udon,Bowl,Japan,4.5,
1914,Prima,Mee Curry Flavour,Pack,Singapore,5,
1913,Thai Smile,Mushroom Rice Noodle Soup Bowl,Bowl,USA,0,
1912,MAMA,Instant Noodles Chicken Flavour,Pack,Myanmar,3.75,
1911,Nissin,Ramen Cup Noodle,Cup,Japan,5,
1910,Nissin,Chow Mein Thai,Tray,USA,3,
1909,Asia Gold,Instant Noodles With Chicken,Pack,Hungary,3.5,
1908,Nissin,Tonkotsu Ramen,Bowl,Japan,4.75,
1907,Prima Taste,Curry,Pack,Singapore,5,2016 #5
1906,Vifon,Chicken Flavour Style Instant Noodles,Pack,Vietnam,3.5,
1905,Pirkka,,Pack,Finland,3.5,
1904,Bonasia,Instant Noodles Flavour,Pack,Hungary,3,
1903,Other,Tonkotsu Ramen,Pack,Japan,4.5,
1902,MAMA,Seafood Tom Yum Flavour,Pack,Myanmar,5,
1901,Prima,Mee Original Spicy Flavour,Pack,Singapore,5,
1900,Ibumie,Mi Goreng Perisa Kari,Pack,Malaysia,5,
1899,Koh Thai,Of Thai Shrimp Instant Noodles,Pack,Netherlands,1.5,
1898,Master Kong,Spicy Noodle,Bowl,China,3,
1897,Nissin,Cup Noodle Curry,Cup,Japan,3.5,
1896,Asia Gold,Instant Noodles Flavour,Pack,Hungary,3.5,
1895,Maruchan,Shoyu,Bowl,Japan,5,
1894,MAMA,Snack Noodles Flavour,Pack,Myanmar,2.75,
1893,Nissin,Cup Noodle,Cup,Japan,5,
1892,Ottogi,Cheese Ramen,Pack,South Korea,4,
1891,Nissin,Cup Noodles Chicken,Cup,USA,3.5,
1890,Kuriki,Beef Shio Ramen,Pack,Japan,4.5,
1889,MAMA,Snack Noodles Sour Flavour,Pack,Myanmar,2.75,
1888,Nissin,Cup Noodles White Flavour,Cup,Singapore,3.5,
1887,Myojo,Mee,Pack,Singapore,4.25,
1886,Myojo,Chicken Flavour,Bowl,Singapore,3.75,
1885,Myojo,Ramen Mee,Pack,Singapore,3,
1884,Myojo,Ramen Spicy Mushroom Flavour Big Bowl,Bowl,Singapore,4.5,
1883,Myojo,Mee Goreng,Pack,Singapore,4,
1882,Myojo,Ramen Spicy Hot Flavour Big Bowl,Bowl,Singapore,4.75,
1881,Myojo,Chicken Flavour,Pack,Singapore,3.5,
1880,Myojo,Thai Tom Yam Flavour,Bowl,Singapore,3.75,
1879,Myojo,Chicken Flavour,Pack,Singapore,3.5,
1878,Myojo,Spicy Curry Big Bowl,Bowl,Singapore,5,
1877,Myojo,Ramen Spicy Mushroom Flavour,Pack,Singapore,4.5,
1876,Myojo,Chicken Flavour,Pack,Singapore,3.75,
1875,Sapporo Ichiban,Tonkotsu Ramen Flavored Tonkotsu White Chicken,Pack,USA,5,
1874,Ibumie,Mi Goreng Perisa Thai Tom Yam,Pack,Malaysia,2.5,
1873,Vedan,A Instant Noodles Chicken Flavor,Bowl,Taiwan,0,
1872,Itsuki,,Pack,Japan,5,
1871,Nissin,Cup Noodles Pork Flavour,Cup,Thailand,3.75,
1870,Asia Gold,Instant Noodles With Beef,Pack,Hungary,2.75,
1869,Nissin,Soba Fried Noodles Chili,Pack,Germany,3.5,
1868,Marutai,Tonkotsu Ramen,Bowl,Japan,4,
1867,Yum Yum,Bowl Instant Noodles Pork Flavour,Bowl,Thailand,4,
1866,MyKuali,Penang Spicy Prawn Soup Noodle,Pack,Malaysia,5,
1865,Mama,Shrimp Tom Yum Flavour Cup Noodles,Cup,Myanmar,3.5,
1864,Nissin,Ramen Noodle Soup Tonkotsu Flavor,Pack,USA,5,
1863,Baijia,Noodle Vegetable Artificial Beef Flavor,Pack,China,0,
1862,Ibumie,Mi Goreng Perisa,Pack,Malaysia,3.75,
1861,Conimex,Oriental Noodles Curry,Cup,Netherlands,0.5,
1860,Nissin,Noodle Style,Cup,Japan,2.75,
1859,Mama,Instant Noodles Curry Flavour,Pack,Cambodia,5,
1858,Myojo,,Bowl,Japan,5,
1857,IbuRamen,Mi Goreng Noodles A Flavor,Tray,USA,3.25,
1856,Indomie,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,Indonesia,5,
1855,Other,Ramen,Pack,Japan,3,
1854,Mama,Chinese Chinese Style Instant Noodles,Pack,Myanmar,3.5,
1853,Bonasia,Instant Noodles Shrimp Flavour,Pack,Hungary,3.5,
1852,Myojo,Udon Japanese Style Noodles With Soup Hot & Spicy Flavor,Bowl,USA,3.25,
1851,Fujiwara,Crab Flavour Shio Ramen,Pack,Japan,3.5,
1850,Nissin,Ramen Noodle Soup Miso Flavor,Pack,USA,4.5,
1849,Pama,Instant Rice Vermicelli Soup Flavour,Pack,Malaysia,3.5,
1848,MyKuali,Penang Red Yum Noodle (New,Pack,Malaysia,5,
1847,Conimex,Oriental Noodles Hot & Spicy,Pack,Netherlands,3,
1846,Nissin,Chow Mein Sauce Noodles Chicken Flavor,Tray,USA,4.5,
1845,Mama,Oriental Style Instant Noodles Shrimp Flavour,Pack,Bangladesh,3.25,
1844,Other,Ramen,Bowl,Japan,5,
1843,Forest Noodles,Noodles With Sesame Sauce,Pack,Taiwan,4.5,
1842,Forest Noodles,Sweet Noodles With Sauce,Pack,Taiwan,5,
1841,Forest Noodles,Noodles With Spicy Sauce,Pack,Taiwan,4,
1840,Forest Noodles,Sweet Noodles With Sesame Paste Sauce,Pack,Taiwan,3.25,
1839,Vit's,Taste Of Penang White Curry Ramen,Pack,Malaysia,5,
1838,Vit's,Taste Of Penang Laksa Fried Instant Noodle,Pack,Malaysia,4.5,
1837,Vit's,Taste Of Penang Mee Ramen,Pack,Malaysia,5,
1836,Vit's,Taste Of Penang White Curry Fried Instant Noodle,Pack,Malaysia,5,
1835,Vit's,Taste Of Penang Laksa Ramen,Pack,Malaysia,5,
1834,Vit's,Taste Of Penang Mee Fried Instant Noodle,Pack,Malaysia,5,
1833,Vit's,Instant Noodles With Chicken Flavour,Pack,Malaysia,3.75,
1832,Yum Yum,Instant Noodles Noodles Flavour,Pack,Thailand,3.5,
1831,Kuriki,Ramen,Pack,Japan,4,
1830,Tseng Noodles,Pepper Flavor,Pack,Taiwan,4.75,
1829,Tseng Noodles,Sesame Flavor,Pack,Taiwan,5,
1828,Tseng Noodles,With Pepper Flavor,Pack,Taiwan,5,2016 #9
1827,Nongshim,Noodles With Sauce,Pack,South Korea,5,
1826,Mama,Instant Noodles Beef Flavour,Pack,Cambodia,3.5,
1825,Sichuan Baijia,Noodle Chilli Oil Flavor,Pack,China,4.5,
1824,Nongshim,Noodle Soup,Cup,USA,5,
1823,MyKuali,Fried Noodle,Pack,Malaysia,4,
1822,Mi Sedaap,Mi Rasa,Pack,Indonesia,3.5,
1821,Myojo,Udon Japanese Style Noodles With Soup Beef Flavor,Bowl,USA,3.25,
1820,Ten-In,King Instant Noodles,Bowl,Taiwan,1.5,
1819,Yum Yum,Bowl Instant Noodles Flavour,Bowl,Thailand,5,
1818,Sugakiya Foods,Shoyu Ramen,Bowl,Japan,4.5,
1817,Hao Way,Penang Vegetarian Prawn Instant Bowl Noodles,Bowl,Malaysia,4,
1816,Vifon,Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25,
1815,Other,Shio Ramen,Pack,Japan,4,
1814,Koh Thai,Of Tom Yum Instant Noodles Soup,Pack,Netherlands,3,
1813,Nissin,Soba Fried Noodles Curry,Pack,Germany,4.25,
1812,Master Kong,Mushroom Instant Noodle,Bowl,China,4.25,
1811,Conimex,Oriental Noodles,Pack,Netherlands,3.5,
1810,MyKuali,Penang White Curry Noodle (New,Pack,Malaysia,5,
1809,Marutai,Tonkotsu Ramen,Bowl,Japan,4.75,
1808,Mama,Vegetarian Instant Cup Noodle & Flavour,Cup,Thailand,3.5,
1807,Wai Wai,Tom Yum Flavour Instant Noodle,Cup,Thailand,3.5,
1806,Cintan,Mi Perisa Goreng,Pack,Malaysia,3.5,
1805,Mama,Oriental Style Instant Noodles Flavour,Pack,Bangladesh,4,
1804,Thai Chef,Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,Hungary,4.75,
1803,Mama,Vegetarian Instant Noodles Tom Yum Flavour,Pack,Thailand,4,
1802,Nissin,Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New,Cup,USA,3.5,
1801,Baijia,Spicy Artificial Instant Vermicelli (New,Pack,China,3.75,
1800,Other,Soup Hot & Sour,Cup,USA,0.25,
1799,Thai Smile,Onion Rice Noodle Soup Bowl,Bowl,USA,2.5,
